96613 97536
105 74 144
13 42 0
109 55 139
80 38 12
2 33 251
77 58 174
163 80 145
7 197 127
155 145 126
215 157 130
222 106 18
102 106 221
42 157 156
235 70 218
94 224 125
165 147 30
27 218 143
155 28 40
153 97 181
148 112 14
204 243 195
81 123 115
184 115 145
18 102 203
16 37 90
73 176 211
22 236 91
152 141 76
175 195 169
17 127 247
198 121 82
174 52 214
227 177 184
14 159 161
11 26 42
114 90 135
218 234 196
248 58 39
223 161 137
22 52 206
57 253 190
90 112 242
111 56 138
97 172 238
149 137 204
21 211 0
156 218 60
43 222 128
249 199 197
220 234 99
122 216 33
227 155 240
101 255 183
184 176 193
211 84 177
11 232 254
75 15 98
131 20 213
162 198 215
184 125 60
19 233 188
111 121 235
154 124 113
21 73 148
150 19 109
126 53 102
159 19 211
223 235 193
164 40 82
9 20 59
73 2 66
232 56 211
128 84 253
60 213 117
102 14 123
151 186 174
97 217 49
150 169 177
119 212 43
100 45 138
241 143 104
108 185 161
48 69 118
94 2 114
207 93 79
101 159 139
251 35 115
167 223 199
15 195 71
253 234 201
116 135 173
244 27 188
183 83 228
4 156 73
236 93 161
16 67 217
66 49 111
30 173 13
231 228 68
87 153 123
31 152 101
66 136 170
160 49 125
62 146 80
49 86 248
62 139 203
130 171 165
200 86 222
78 77 140
47 137 173
175 142 12
16 66 251
194 242 57
11 73 162
124 106 117
196 104 83
203 207 77
26 7 144
241 162 150
166 11 231
29 3 201
118 240 113
74 240 155
11 37 139
93 191 225
144 168 211
123 222 163
93 227 102
168 202 126
173 198 88
165 77 63
155 37 116
11 252 190
99 84 53
164 240 248
214 1 4
11 196 113
30 82 180
132 207 200
180 63 60
29 163 155
159 50 180
5 198 158
239 221 147
44 176 247
122 91 38
28 6 220
213 138 84
24 21 112
150 168 144
115 145 219
200 44 31
51 143 168
174 232 140
230 192 99
189 93 105
196 240 115
212 93 72
7 190 53
190 232 249
135 158 91
235 64 6
153 12 132
106 78 108
41 19 28
42 58 155
22 254 117
114 69 176
206 92 39
158 234 241
42 58 165
28 54 138
140 157 32
167 100 135
56 62 161
194 188 18
240 138 98
120 173 238
210 217 109
82 42 51
118 237 120
153 66 76
67 174 0
205 3 46
19 37 164
102 145 219
8 183 197
202 130 23
173 163 91
143 124 104
80 190 25
243 18 84
159 109 197
152 219 215
129 227 209
132 212 35
56 157 63
89 249 156
180 27 179
209 31 19
58 224 218
125 20 65
54 173 251
191 249 135
93 250 219
5 223 229
8 181 214
72 161 56
204 63 59
197 1 185
94 163 232
250 7 178
165 25 38
227 150 131
33 187 199
118 79 213
124 135 126
93 171 28
110 149 127
243 84 83
214 153 88
129 196 244
23 156 14
186 33 54
176 247 124
117 88 139
31 145 232
170 120 89
248 90 231
175 81 248
64 7 115
179 77 236
16 16 74
124 143 100
103 231 138
93 74 243
80 122 138
123 99 142
53 235 251
65 75 198
130 143 64
33 23 71
126 37 11
141 225 144
102 88 57
53 99 245
203 119 239
130 209 210
46 116 245
83 246 17
218 27 83
247 147 223
1 147 42
107 245 171
27 26 213
213 214 96
123 253 64
65 118 227
50 215 136
154 249 207
41 11 212
236 2 112
122 131 116
217 145 254
15 170 56
89 27 27
126 168 18
183 232 143
35 221 239
200 177 66
127 161 210
109 122 123
209 58 51
76 173 88
244 30 152
203 120 142
120 106 113
78 105 98
3 163 56
177 71 231
234 172 201
8 51 121
11 7 0
150 0 123
238 80 145
11 208 77
28 247 44
3 240 144
191 62 210
188 245 158
122 115 113
22 23 68
139 111 199
209 205 195
32 78 117
2 170 6
247 112 99
214 120 37
57 176 84
140 147 26
152 228 201
172 136 194
167 150 27
141 238 23
122 1 211
7 133 173
127 78 77
117 141 106
155 16 142
238 104 138
136 253 99
196 115 211
110 239 187
61 33 21
193 27 70
144 90 229
91 145 78
35 19 154
218 244 213
4 47 136
60 122 240
166 149 124
184 39 100
221 146 121
223 70 127
28 113 177
244 40 57
238 89 198
136 33 139
178 103 66
90 192 14
156 12 84
110 78 216
232 169 205
108 138 148
96 104 91
60 163 225
17 94 5
223 118 237
73 223 230
143 9 81
213 33 46
27 71 47
121 20 86
124 254 138
176 128 163
189 23 229
166 97 223
10 20 32
115 128 83
22 208 143
153 83 7
178 114 93
192 23 62
171 178 32
176 43 44
228 80 188
143 174 250
181 210 125
93 92 253
131 125 112
174 167 50
160 151 3
167 18 253
102 219 221
59 210 35
143 61 255
166 167 6
215 224 28
42 248 32
212 84 53
9 46 194
21 21 121
196 82 13
122 64 92
146 234 49
212 152 246
35 17 229
189 185 158
151 214 40
186 155 199
185 214 55
143 74 27
128 29 206
226 229 214
200 57 162
19 212 101
78 160 31
90 78 63
234 69 95
35 11 3
16 117 107
167 69 211
137 248 182
204 245 240
109 101 214
62 76 151
101 197 133
206 112 27
32 107 216
11 120 67
19 19 190
31 170 231
117 58 188
236 244 198
122 190 231
103 169 170
206 182 35
52 125 191
86 147 155
131 195 48
35 119 128
43 229 4
183 214 6
5 37 55
123 76 155
138 147 28
129 189 106
176 78 243
119 179 17
2 255 198
235 245 159
254 147 138
198 100 208
180 56 115
2 26 140
156 154 150
175 197 158
184 95 198
38 65 177
235 225 168
140 117 145
152 44 25
138 112 160
127 55 194
75 196 150
212 102 248
183 34 125
161 64 218
238 55 236
94 109 166
7 198 131
207 244 91
10 6 167
29 179 149
44 62 128
56 30 165
74 160 48
108 60 240
168 99 86
67 223 139
235 36 194
155 35 19
84 125 122
7 42 210
63 231 237
106 22 16
220 206 118
210 71 182
44 243 21
147 214 42
63 6 105
165 82 103
172 132 241
63 187 91
81 206 132
180 188 134
77 139 15
141 44 208
59 63 142
232 199 170
177 45 76
17 41 105
248 106 95
95 12 224
13 66 94
81 195 60
216 208 101
233 247 36
171 217 76
72 160 17
255 233 36
138 71 235
106 177 243
229 122 230
228 160 176
253 144 155
59 192 129
138 159 106
212 211 52
45 187 15
164 174 251
143 113 132
111 213 108
188 131 22
63 88 185
191 229 203
40 237 44
126 248 243
58 79 231
216 5 13
199 214 218
253 253 221
215 88 4
13 112 202
232 63 237
245 204 125
235 236 100
134 215 184
123 75 118
215 111 117
96 184 176
220 128 64
68 17 150
72 70 213
181 28 98
160 197 253
91 27 2
160 134 166
123 174 76
211 148 66
172 233 132
110 182 98
216 182 17
109 238 146
118 108 123
241 50 119
6 177 168
216 106 40
205 141 88
158 170 202
210 208 222
116 177 111
26 166 33
159 163 48
32 120 211
19 2 137
151 6 240
80 242 244
100 195 121
124 174 202
214 112 114
194 70 86
40 251 26
234 155 59
57 154 107
58 157 9
139 36 210
140 195 26
122 176 47
177 203 178
190 113 15
5 179 87
35 208 40
83 248 109
134 203 22
236 15 22
20 142 85
2 33 74
191 79 126
75 11 50
2 111 198
211 149 202
214 207 181
33 241 182
244 112 35
142 119 100
76 78 121
226 160 100
198 126 37
48 64 5
56 135 94
244 8 48
168 254 26
106 60 137
195 101 76
49 177 196
158 68 99
33 10 69
172 137 0
106 52 252
0 30 247
238 31 127
196 201 136
225 191 105
249 73 223
158 66 242
112 174 202
204 147 208
10 248 185
177 15 77
44 243 252
214 135 169
134 82 56
221 118 179
5 11 43
159 132 163
21 242 161
138 59 58
28 153 182
58 8 29
52 103 78
85 118 110
40 248 210
172 166 172
177 180 44
144 18 205
242 179 5
114 131 154
49 208 62
190 80 75
216 12 173
249 216 99
173 37 26
25 67 206
77 119 121
37 117 56
238 19 105
14 83 176
86 29 237
205 58 126
22 107 106
190 188 66
12 92 225
59 158 78
25 246 109
125 15 69
31 68 0
175 42 245
62 238 90
84 174 113
79 26 75
219 252 115
161 130 42
128 82 241
243 214 149
102 71 254
178 85 106
243 135 227
116 167 6
107 207 125
180 253 189
208 44 218
208 107 154
249 112 16
65 134 89
242 245 93
26 58 162
147 150 133
195 238 135
100 235 104
246 218 64
176 196 226
250 168 37
231 233 232
32 74 237
58 16 224
123 28 38
113 31 65
228 58 244
16 163 108
46 35 14
171 144 202
165 143 246
134 59 38
205 142 121
112 150 77
89 226 103
225 171 228
105 158 147
83 91 137
9 255 13
222 87 46
230 139 159
24 95 178
83 104 134
43 187 193
124 255 115
55 247 238
233 210 193
234 227 15
55 154 248
94 202 216
18 165 130
51 242 187
118 110 172
238 85 255
38 126 224
145 158 31
109 130 33
123 102 102
21 174 200
130 176 200
165 82 126
79 162 3
223 186 121
249 134 247
120 75 251
229 1 66
26 219 8
222 146 32
152 81 103
112 78 129
113 125 220
138 219 108
136 58 164
84 170 148
33 195 49
78 121 56
31 82 40
170 9 64
125 255 152
235 27 150
10 216 124
190 177 194
105 60 115
24 131 201
72 125 190
146 192 72
224 183 122
2 7 204
174 234 32
90 164 116
112 95 59
197 15 202
99 57 104
0 163 222
187 90 148
246 156 164
99 121 113
160 83 144
247 129 57
27 189 113
254 45 167
11 33 138
108 225 50
48 25 247
88 203 141
70 204 63
251 58 92
34 106 53
233 62 56
10 233 20
147 130 230
84 255 218
252 103 211
67 95 229
187 97 211
31 55 205
50 150 27
147 234 129
13 180 124
76 11 165
254 19 226
207 154 43
184 13 13
154 130 49
41 154 142
127 83 26
251 47 5
61 60 239
77 216 154
96 77 248
175 149 185
90 235 151
92 242 18
227 147 101
187 233 208
142 211 143
24 253 24
173 134 115
159 143 198
103 79 118
154 132 100
23 89 41
236 26 107
231 77 156
206 7 189
173 148 2
201 211 99
6 207 134
243 120 131
178 148 108
110 56 165
47 106 108
30 190 39
152 7 76
170 120 254
192 201 189
182 52 176
138 114 119
94 250 142
140 41 152
247 41 54
229 173 57
2 213 72
91 220 82
112 96 104
184 100 208
29 87 116
102 200 245
135 144 7
73 150 240
207 129 47
221 231 189
243 227 107
145 24 62
73 135 231
99 199 155
63 120 251
189 16 215
81 83 225
143 10 180
76 227 183
173 124 201
193 0 181
107 229 225
205 170 176
119 171 150
7 97 207
247 162 46
202 199 140
227 193 182
165 122 238
165 32 93
31 43 5
239 53 19
176 3 167
220 80 99
252 56 105
74 84 141
83 234 224
119 184 232
102 68 26
219 190 118
74 208 87
69 242 201
179 27 13
57 230 22
105 138 27
137 44 151
15 123 76
50 148 38
21 159 16
121 167 23
251 151 118
70 100 86
200 206 109
193 59 194
203 151 60
43 71 201
144 135 63
255 207 69
37 20 228
74 255 150
143 111 229
71 227 0
135 158 200
62 165 71
122 222 148
159 8 137
192 57 214
90 36 91
27 99 211
129 100 40
115 217 15
34 189 198
209 61 255
94 49 90
154 236 10
206 131 110
13 225 198
23 60 80
255 207 112
204 223 174
213 121 173
133 105 112
194 85 128
61 12 213
67 97 140
240 44 209
216 69 139
117 153 166
4 170 14
153 15 193
136 218 119
125 236 215
220 153 52
50 49 64
238 67 62
147 187 148
30 39 209
99 194 132
122 35 109
167 147 251
55 128 14
69 138 117
112 16 168
222 83 159
34 135 229
232 98 49
104 22 35
16 176 8
243 78 168
207 184 135
205 52 40
75 177 47
79 160 122
113 13 125
96 219 150
80 50 5
240 121 210
184 120 205
180 116 93
20 99 235
36 138 253
132 34 98
178 217 5
62 72 57
76 185 154
39 202 221
20 217 39
173 57 186
95 157 30
232 65 20
236 182 240
241 97 43
102 3 79
130 236 144
28 168 164
207 65 193
255 110 203
164 71 12
221 90 22
192 44 163
221 144 130
113 95 251
59 106 51
112 203 106
69 212 53
255 85 0
149 235 118
65 152 166
145 215 255
218 224 118
32 229 115
200 100 90
174 232 202
128 201 232
99 209 79
76 212 125
159 141 215
229 110 152
186 32 67
76 222 121
250 255 57
238 66 250
213 179 31
248 79 173
104 171 88
248 74 55
56 98 195
181 70 237
40 178 113
81 159 173
186 119 166
156 183 255
138 104 18
187 241 108
8 50 81
250 235 30
118 214 160
238 0 185
34 69 226
207 253 121
228 57 212
20 34 140
219 87 140
81 93 178
100 131 55
77 195 20
91 131 19
104 79 97
150 215 171
44 222 48
159 216 83
49 106 145
177 16 228
54 135 245
245 217 184
125 27 64
254 57 232
103 98 45
130 252 197
81 34 226
91 19 149
175 43 211
190 45 144
102 18 220
187 148 26
111 46 154
245 75 66
169 211 11
162 101 123
254 206 102
198 167 153
186 33 60
172 97 15
40 1 208
165 138 104
111 13 180
5 27 3
172 208 165
91 174 19
80 121 168
240 87 215
188 217 101
131 193 22
27 158 195
66 141 222
127 206 197
12 232 125
63 135 165
230 107 192
144 246 47
188 56 107
98 149 96
90 82 249
126 169 63
169 61 150
221 252 251
46 214 89
75 215 70
192 117 199
61 66 241
138 65 132
240 127 201
65 211 92
195 197 177
166 15 114
214 58 1
63 62 199
227 52 30
81 112 239
92 176 91
34 18 15
198 18 15
109 203 26
85 31 247
38 156 76
202 56 206
112 56 231
137 217 42
219 160 45
254 82 154
226 3 158
50 197 254
165 213 116
169 96 39
228 46 92
126 219 176
60 101 118
194 53 27
165 237 144
18 170 47
43 112 158
119 249 145
236 42 125
131 212 161
83 136 233
169 168 152
148 1 189
220 143 223
103 52 106
108 146 178
9 67 185
29 35 246
112 111 197
137 219 87
206 245 52
184 112 166
72 40 181
254 250 114
248 208 191
20 104 229
33 194 136
122 61 225
178 192 68
13 143 91
253 147 160
228 66 248
185 103 126
112 128 230
54 103 243
212 125 252
223 154 125
129 105 21
245 253 137
22 182 170
138 225 37
119 140 174
189 134 2
44 138 175
53 249 174
252 190 43
223 43 16
202 231 47
236 83 35
175 234 55
5 134 247
89 147 65
209 148 229
164 141 51
170 37 18
119 164 112
156 21 39
225 57 181
158 13 79
116 6 57
20 99 114
225 21 5
133 51 176
213 251 145
153 190 32
19 89 161
87 3 202
211 148 95
156 156 226
90 212 184
223 219 72
218 59 252
36 37 61
140 103 177
62 142 103
12 43 184
73 182 7
245 138 163
103 227 121
189 244 86
186 96 236
211 196 220
162 22 100
247 250 140
56 104 238
217 53 93
11 84 34
246 244 134
26 199 222
175 14 90
19 65 65
171 111 99
202 170 230
111 21 189
252 116 98
59 75 180
69 242 1
39 36 161
95 247 189
127 59 2
157 178 127
92 169 217
167 202 153
131 71 71
120 182 131
131 38 105
150 95 214
9 76 114
144 248 135
135 176 9
189 29 101
6 120 229
51 42 213
72 113 168
6 223 204
34 208 249
194 50 13
24 40 228
44 116 165
58 172 118
53 167 164
62 166 149
62 30 30
223 56 29
147 87 98
118 81 65
34 22 120
214 243 33
124 195 225
109 163 167
14 5 138
152 49 167
161 159 18
71 170 55
15 138 62
210 155 76
72 84 185
26 136 150
133 185 17
228 171 157
203 128 238
114 242 29
163 151 149
100 51 158
24 114 157
206 178 88
241 161 240
154 214 70
48 177 5
32 39 137
203 69 91
3 139 255
170 116 58
79 194 36
225 101 166
209 31 41
47 41 164
182 137 83
183 217 178
103 177 150
254 241 128
164 149 114
37 236 244
223 54 13
104 32 93
219 150 146
215 220 246
134 245 202
83 192 158
19 76 248
203 92 215
92 10 250
185 12 253
119 14 157
216 19 199
151 229 64
39 247 3
37 70 174
35 29 142
31 202 53
65 165 147
177 240 11
170 135 5
18 81 226
59 238 95
160 32 201
187 213 154
63 230 70
95 225 111
239 123 178
124 126 206
173 71 213
139 60 159
140 187 194
99 108 184
19 11 245
178 247 31
217 45 171
189 127 129
95 23 129
89 184 243
46 53 80
41 8 232
49 41 71
26 94 114
85 199 75
28 80 189
95 79 140
34 121 202
14 237 104
93 18 104
114 111 133
181 206 120
139 69 42
136 250 98
37 191 222
166 214 211
243 130 67
141 46 185
235 75 53
226 61 128
226 233 31
48 196 142
104 117 157
228 101 252
229 211 88
136 69 152
244 110 30
64 227 24
0 48 64
131 51 160
29 192 49
27 254 118
41 0 92
94 126 4
36 198 70
174 53 15
204 218 230
47 15 55
125 48 65
201 185 175
72 103 73
94 64 62
82 130 246
76 237 117
111 229 166
37 95 50
254 147 179
173 234 86
8 167 83
22 49 195
148 17 180
120 255 153
77 146 88
147 107 177
88 249 174
200 43 89
111 159 243
85 56 82
67 33 71
209 164 8
16 94 19
232 184 17
129 177 155
87 82 233
198 111 223
43 125 236
244 163 183
54 82 148
157 8 46
210 15 243
176 72 30
218 117 116
147 117 14
230 103 206
127 197 73
198 192 73
27 145 63
66 117 54
93 144 33
16 236 168
157 79 184
22 156 120
251 245 133
225 230 120
243 54 31
101 51 247
61 149 201
247 78 118
235 223 83
137 4 168
190 228 51
37 250 176
201 119 227
172 207 150
74 168 125
207 114 11
196 65 150
78 198 95
97 127 88
113 116 191
135 18 227
196 16 179
184 88 230
23 111 216
175 213 120
181 72 218
185 246 61
228 9 181
81 8 182
158 252 44
0 115 232
141 156 138
116 59 49
77 49 152
222 185 103
221 179 224
145 150 51
103 220 32
216 8 173
50 143 17
24 81 56
228 105 90
39 117 159
252 166 207
236 59 113
143 55 239
56 103 154
67 32 157
227 54 66
137 23 29
43 26 235
31 91 82
74 183 198
197 210 54
86 30 86
63 102 155
93 73 72
140 161 33
193 215 146
101 136 119
209 10 202
249 181 214
169 253 201
230 184 187
76 42 129
123 175 228
255 28 27
45 36 142
233 112 84
88 39 237
232 19 26
55 173 236
182 183 98
38 40 38
61 150 77
23 103 37
56 107 123
82 176 218
11 173 175
113 27 93
228 14 164
155 50 230
19 53 47
0 199 12
166 184 150
150 21 61
72 92 48
18 27 125
92 145 61
42 52 99
85 40 8
9 251 81
89 87 60
19 95 243
23 239 131
218 2 251
229 220 101
97 215 27
29 222 95
144 251 68
185 134 67
248 211 29
46 116 208
200 104 198
134 207 146
15 0 206
193 6 252
52 253 115
109 197 195
180 250 25
132 59 125
27 36 13
134 138 123
68 214 123
215 143 228
213 120 173
91 211 19
246 154 134
80 210 51
81 76 63
108 107 24
79 193 96
56 167 96
145 36 2
171 175 202
172 186 68
10 8 214
42 57 11
255 17 159
190 103 254
249 191 245
198 247 192
195 151 191
7 161 112
104 237 143
164 128 95
71 92 135
96 176 17
114 133 108
22 40 119
75 12 8
117 214 107
98 207 197
0 249 108
137 105 136
69 195 155
57 232 203
93 47 246
42 202 254
165 32 211
45 62 31
187 187 160
77 153 151
187 6 217
39 22 88
187 194 74
134 211 54
133 134 135
67 8 131
148 29 169
91 138 238
82 33 75
81 128 156
144 216 197
199 100 136
70 79 167
88 61 24
140 182 120
185 27 1
216 251 176
15 211 93
122 169 243
147 253 11
85 3 144
101 43 70
224 92 58
173 107 137
93 186 6
249 0 162
88 171 165
210 92 21
99 103 227
160 98 180
16 39 96
192 218 124
47 197 141
227 52 179
73 149 234
170 130 63
93 131 126
128 176 72
218 110 151
184 6 18
221 196 196
231 224 21
173 95 16
131 172 94
116 159 128
189 36 42
63 200 208
156 206 193
55 158 105
91 177 144
33 63 166
4 89 138
21 65 73
77 14 193
123 12 56
179 81 64
76 121 125
213 151 43
134 172 124
19 74 26
240 47 119
104 253 179
16 81 63
132 238 134
106 189 60
45 194 46
250 94 161
216 124 165
244 114 232
131 191 231
187 237 149
214 69 203
32 17 40
122 159 30
221 75 99
185 47 2
81 80 189
87 99 134
124 120 39
176 52 133
62 91 254
19 222 196
204 170 81
94 225 71
116 80 85
219 57 244
146 201 37
90 218 108
210 194 190
143 110 38
168 243 59
174 82 204
13 57 77
68 207 219
124 247 254
89 150 118
44 175 167
196 126 138
143 220 47
207 129 41
11 18 134
11 245 32
248 89 97
117 7 218
218 198 55
203 125 121
224 92 124
40 173 51
157 34 30
231 185 234
6 134 61
182 13 15
172 241 46
249 26 185
58 171 179
98 84 1
50 241 116
206 106 161
228 84 193
98 198 205
176 85 139
230 68 81
125 63 160
97 54 236
121 68 39
247 152 236
18 219 92
255 145 10
53 89 141
105 42 136
199 207 84
79 82 137
97 35 22
217 18 177
79 114 189
86 13 254
203 165 178
152 59 229
119 82 30
145 230 177
25 214 97
44 230 24
154 176 211
109 25 31
65 32 186
204 38 48
44 0 140
206 115 121
15 227 102
230 99 135
49 108 204
139 213 36
165 240 163
154 218 110
197 80 109
238 181 57
244 16 196
62 25 166
149 188 25
55 159 4
70 125 174
218 133 231
98 247 209
24 174 135
182 102 90
172 214 92
130 249 104
56 22 247
180 110 88
163 152 35
96 238 6
178 155 60
131 43 72
230 170 207
250 184 167
149 25 115
189 169 96
76 193 231
96 107 156
100 252 109
204 230 235
227 227 103
58 209 7
150 199 48
113 85 199
108 238 60
64 230 97
21 144 115
63 94 228
219 17 202
194 91 245
192 128 35
30 218 202
217 80 104
32 21 101
235 85 227
202 154 17
68 2 224
80 172 34
219 226 133
83 223 233
171 84 241
93 239 246
77 139 149
158 225 146
213 198 207
229 93 123
239 204 205
224 74 226
57 171 160
152 171 163
227 177 159
40 186 196
134 171 255
190 67 49
65 93 177
212 67 181
26 66 123
175 193 60
148 133 90
24 236 72
141 64 23
90 118 177
90 244 40
125 49 161
37 73 201
193 231 208
134 8 91
94 127 252
97 85 253
122 77 171
0 49 105
106 186 37
113 48 17
46 21 173
33 118 122
39 184 255
186 248 217
27 95 15
58 242 236
107 197 255
84 164 26
147 129 98
12 81 206
227 32 176
141 121 17
125 131 10
78 86 103
143 122 47
102 149 236
209 162 191
45 86 174
65 124 175
20 103 77
30 207 12
197 188 209
35 64 244
126 50 204
6 47 210
171 133 177
48 213 217
195 143 115
190 156 196
101 196 98
185 190 205
179 234 66
145 32 235
239 29 173
224 113 79
83 3 172
92 127 33
54 75 144
29 217 120
92 108 22
18 171 152
157 156 187
190 215 112
187 15 92
55 80 82
125 114 18
96 187 245
16 167 77
102 72 168
159 194 48
122 205 217
48 68 44
205 37 198
194 151 224
209 201 130
165 202 48
174 173 44
26 142 164
3 92 106
43 113 3
222 87 44
204 89 48
254 171 159
51 68 69
72 209 112
117 63 238
135 203 67
98 164 8
105 123 115
163 152 122
183 71 11
17 196 82
211 235 5
88 83 36
119 159 194
205 44 160
172 106 202
140 114 115
9 197 197
214 57 96
47 115 185
170 138 159
129 160 134
162 153 117
40 57 160
16 69 20
70 139 11
89 210 181
121 31 156
145 226 244
148 213 111
88 186 108
153 64 163
245 178 148
251 65 93
176 253 216
18 231 253
117 156 251
223 134 154
167 156 173
1 21 196
65 152 104
247 206 122
52 107 144
152 1 105
252 53 203
208 56 104
133 145 158
157 145 49
61 20 73
74 88 97
122 10 229
234 228 178
14 108 187
24 180 119
41 37 231
237 201 88
111 135 46
66 70 80
90 8 28
40 71 228
210 66 98
164 255 166
10 42 110
176 22 234
158 143 76
111 65 199
235 214 189
175 34 81
174 244 150
165 98 20
224 172 91
228 13 212
209 11 28
159 46 132
131 33 144
32 171 133
74 2 111
136 99 33
161 252 21
201 134 71
79 26 85
225 52 136
187 218 154
89 89 81
140 42 69
254 201 107
133 169 66
222 151 176
159 28 236
133 187 16
104 46 36
121 228 196
156 108 172
244 154 209
2 129 202
225 153 192
137 174 26
26 106 155
162 141 179
224 66 44
224 7 126
154 31 114
207 147 211
211 33 100
18 177 85
110 39 234
192 167 16
43 171 24
0 122 209
96 223 173
228 47 197
240 7 204
130 67 85
144 26 250
89 105 65
59 148 88
227 131 251
243 159 34
118 228 70
186 98 103
97 196 16
208 169 11
68 3 141
46 182 250
175 34 148
67 103 174
255 127 63
238 137 229
117 209 189
188 124 155
151 228 123
100 8 78
204 150 116
127 126 114
51 18 212
140 19 51
196 75 212
36 121 106
171 187 210
122 192 226
224 94 175
22 108 205
11 233 110
211 215 129
151 80 11
22 200 119
21 119 153
81 85 134
211 56 159
183 246 92
189 150 180
65 235 62
116 63 89
226 208 1
173 71 23
7 126 72
204 36 218
81 37 0
193 229 140
150 167 25
34 183 246
22 55 134
137 154 211
251 51 120
49 96 54
19 62 214
204 231 30
209 162 1
168 152 88
130 229 198
2 31 149
204 170 164
169 108 203
108 202 63
216 235 209
49 179 37
77 0 54
52 0 192
174 197 98
89 90 155
29 7 240
11 143 218
25 127 75
52 240 243
152 77 136
123 240 178
99 187 131
194 251 109
178 48 60
223 148 132
8 114 116
154 178 28
80 33 131
231 92 28
57 112 125
101 131 105
207 37 134
23 32 94
91 212 114
97 142 142
125 88 161
70 42 189
135 147 25
225 41 28
28 102 228
33 186 197
9 243 173
202 92 120
100 19 150
168 130 148
228 18 93
21 101 88
127 178 175
174 41 90
74 95 203
82 51 72
141 175 91
91 202 223
38 30 143
33 237 41
33 8 124
172 116 252
148 230 180
184 106 175
192 205 38
239 170 30
102 36 56
98 184 225
102 166 35
73 226 200
159 152 143
253 152 155
3 75 111
50 8 16
249 213 30
121 254 12
248 12 187
246 251 31
96 195 194
94 147 58
156 73 236
52 12 179
119 31 72
68 53 123
187 248 155
96 132 159
17 247 245
91 116 253
20 36 148
67 29 71
183 48 253
227 20 61
217 107 89
120 133 39
38 2 14
178 144 145
49 125 159
239 225 75
207 120 197
179 147 160
183 162 205
107 70 214
88 243 53
99 127 230
250 50 130
6 64 125
24 167 101
85 232 52
252 28 15
170 77 11
157 26 208
173 23 44
182 98 247
151 96 221
39 170 229
167 138 198
145 154 116
226 96 102
44 6 135
15 113 208
236 109 242
242 169 170
213 177 141
200 49 104
154 25 147
3 136 197
125 133 65
71 226 130
99 240 172
165 193 99
55 44 226
23 211 103
129 217 69
60 11 71
70 166 36
85 3 49
34 204 155
128 144 198
164 200 173
52 167 82
235 88 159
252 112 75
126 185 152
120 169 13
113 31 119
145 61 211
181 117 244
252 37 249
191 86 250
243 126 112
93 76 67
47 236 131
213 72 53
40 46 201
64 98 253
144 2 106
37 210 235
14 60 150
89 47 13
56 34 67
22 230 15
211 11 38
91 254 81
78 56 245
132 11 74
125 241 219
42 112 29
147 228 60
60 217 121
98 186 170
94 248 182
214 251 40
130 127 46
175 37 158
197 94 217
126 7 157
141 63 44
227 99 84
224 63 51
5 196 210
7 238 237
83 157 126
99 137 232
121 163 213
143 119 30
165 109 99
184 2 15
252 74 3
57 87 32
87 97 91
123 192 51
67 15 146
11 32 135
56 126 85
253 176 209
25 130 10
128 248 156
236 185 82
194 17 222
219 226 197
7 25 220
107 126 234
5 247 65
251 165 117
131 81 121
128 43 196
49 203 83
127 243 156
202 130 214
76 147 32
104 200 100
129 41 19
40 33 14
194 125 79
255 126 55
175 89 134
219 185 108
42 37 56
253 81 130
203 198 244
150 103 242
160 184 211
161 248 113
42 106 49
1 93 212
149 218 175
219 1 35
55 114 102
54 97 251
75 34 109
208 73 41
239 190 142
67 77 133
91 154 68
89 134 12
100 100 249
173 143 66
49 66 126
131 191 198
60 44 203
233 169 54
140 140 248
14 209 70
49 19 123
226 176 28
0 223 164
239 234 238
145 203 86
120 206 223
118 22 8
208 15 23
189 55 252
253 194 33
169 0 190
141 152 137
172 242 224
184 93 182
169 223 244
184 177 5
104 199 202
101 5 40
89 236 235
20 217 190
142 55 86
177 52 51
243 208 122
27 100 217
208 248 116
192 248 71
129 42 139
121 251 243
116 114 232
168 114 11
99 14 154
145 25 153
211 67 202
245 89 215
206 129 59
245 141 207
221 187 6
38 119 55
73 0 147
240 253 140
147 94 219
45 40 109
48 249 220
255 95 58
138 103 93
241 224 238
51 78 228
81 128 57
108 65 245
205 164 226
215 215 140
76 128 91
120 13 221
16 142 166
241 223 75
9 81 103
255 34 167
124 76 75
48 164 171
213 61 153
231 134 182
201 159 22
146 217 200
177 96 30
41 120 193
34 222 255
235 37 214
209 40 153
85 231 85
165 114 53
99 164 154
30 218 163
11 250 81
230 90 151
247 99 238
181 13 69
130 137 106
106 167 59
246 230 63
104 47 126
4 160 167
46 255 233
131 164 17
58 254 194
109 1 228
32 28 158
23 135 120
229 14 119
177 160 81
162 75 11
254 111 158
86 71 120
85 39 242
12 239 21
216 173 65
46 102 147
243 114 31
40 254 85
23 138 52
65 121 13
184 18 3
182 129 152
133 192 220
24 102 27
231 204 31
232 23 94
189 254 179
113 99 105
86 24 198
229 113 93
175 103 198
188 125 149
238 165 160
73 213 253
31 18 56
157 19 178
46 210 42
161 156 219
37 136 191
111 90 199
167 52 50
241 182 73
172 75 36
189 216 80
126 21 93
47 35 202
245 75 198
200 235 186
239 241 164
199 122 152
19 113 22
7 66 233
198 249 208
24 100 32
110 23 25
160 97 180
231 146 3
244 31 130
66 139 235
242 32 102
197 213 49
